version,state,ciphersuite
TLSv1,supported,TLS_AES_128_GCM_SHA256
TLSv1,supported,TLS_AES_256_GCM_SHA384
TLSv1,supported,TLS_CHACHA20_POLY1305_SHA256
TLSv1,supported,TLS_DHE_DSS_WITH_AES_128_CBC_SHA
TLSv1,supported,TLS_DHE_DSS_WITH_AES_128_CBC_SHA256
TLSv1,supported,TLS_DHE_DSS_WITH_AES_128_GCM_SHA256
TLSv1,supported,TLS_DHE_DSS_WITH_AES_256_CBC_SHA
TLSv1,supported,TLS_DHE_DSS_WITH_AES_256_CBC_SHA256
TLSv1,supported,TLS_DHE_DSS_WITH_AES_256_GCM_SHA384
TLSv1,supported,TLS_DHE_RSA_WITH_AES_128_CBC_SHA
TLSv1,supported,TLS_DHE_RSA_WITH_AES_128_CBC_SHA256
TLSv1,supported,TLS_DHE_RSA_WITH_AES_128_GCM_SHA256
TLSv1,supported,TLS_DHE_RSA_WITH_AES_256_CBC_SHA
TLSv1,supported,TLS_DHE_RSA_WITH_AES_256_CBC_SHA256
TLSv1,supported,TLS_DHE_RSA_WITH_AES_256_GCM_SHA384
TLSv1,supported,TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256
TLSv1,supported,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA
TLSv1,supported,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256
TLSv1,supported,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256
TLSv1,supported,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA
TLSv1,supported,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384
TLSv1,supported,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
TLSv1,supported,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256
TLSv1,supported,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA
TLSv1,supported,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256
TLSv1,supported,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
TLSv1,supported,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA
TLSv1,supported,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384
TLSv1,supported,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384
